tool,class,confidence,runtime,launch,tests,tools,docs,other,strong_total
tools/extract_candidate_radiomics.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,1
tools/extract_chaos_mri_v103.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/extract_medsiglip_embeddings.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,1
tools/extract_openswisshcc_holdout_transforms.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/extract_openswisshcc_transforms.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/filter_liverhccseg_tumor_positive.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/filter_monophase_complementary_embeddings.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/finalize_openswisshcc_candidate_variant.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_chaos_v21_evaluation_protocol.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_hybrid_training_protocol.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,1
tools/freeze_liverhccseg_v21_evaluation_protocol.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_lld_mmri_v23_external_protocol.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_lld_mmri_v23_predictions.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_lld_mmri_v23_technical_amendment.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/freeze_openswisshcc_candidate_volume_evaluation_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_candidate_volume_score_v16.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/freeze_openswisshcc_enhancement_pilot_evaluation_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_experiment.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/freeze_openswisshcc_fusion_v11.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/freeze_openswisshcc_highdimensional_batch.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_highdimensional_pilot.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_lesion_localizer_evaluation_v10.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_localizer_roi_v10.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_multisequence.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_v15_fusion.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/freeze_openswisshcc_v23_shape_calibrator.py,RUNTIME_OR_LAUNCH_WIRED,STRONG,0,1,0,0,0,0,1
tools/freeze_openswisshcc_volume_score_v14.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_openswisshcc_volumetric.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_public_independent_calibrator_v21.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/freeze_segmentation_visualization_baseline.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/fuse_liver_masks_registered_phases_v2.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/graphify_argos.ps1,RUNTIME_OR_LAUNCH_WIRED,STRONG,0,1,2,1,10,0,12
tools/harmonize_lld_mmri_v23_dynamic_t1.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/import_argos_portable.sh,TEST_REFERENCED_ONLY,STRONG,0,0,1,1,2,0,3
tools/infer_openswisshcc_case.py,RUNTIME_OR_LAUNCH_WIRED,STRONG,1,0,0,0,1,0,2
tools/infer_openswisshcc_volumetric_case.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/initialize_argos_docker.ps1,TOOLCHAIN_ONLY,STRONG,0,0,0,1,3,0,4
tools/initialize_argos_docker.sh,TEST_REFERENCED_ONLY,STRONG,0,0,1,3,1,0,4
tools/liver_segments_mr_worker.py,TOOLCHAIN_ONLY,STRONG,0,0,0,3,2,0,4
tools/lld_mmri_v23_segment_worker.py,RUNTIME_OR_LAUNCH_WIRED,STRONG,1,0,0,3,0,0,3
tools/make_synthetic_case.py,TEST_REFERENCED_ONLY,STRONG,0,0,6,0,12,0,18
tools/measure_deployed_subtype_accuracy.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/measure_four_phase_union_gain.py,TOOLCHAIN_ONLY,STRONG,0,0,0,2,1,0,3
tools/measure_liver_segments_mr_vs_chaos_reference.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,1,0,2
tools/measure_liver_segments_mr_vs_total_mr_venous_lld.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/measure_three_phase_union_gain.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/measure_total_mr_vs_chaos_reference.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,1,0,2
tools/measure_vessel_continuity_shortlist.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/medgemma_server.py,RUNTIME_OR_LAUNCH_WIRED,STRONG,0,4,4,8,20,0,31
tools/medgemma_server_base.py,TOOLCHAIN_ONLY,STRONG,0,0,0,2,1,0,3
tools/medgemma_server_v14.py,TEST_REFERENCED_ONLY,STRONG,0,0,1,2,4,0,5
tools/merge_openswisshcc_lesion_localizer_chunks.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/merge_openswisshcc_multisequence_chunks.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/pilot_lld_mmri_v23_segmentation.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,3,0,3
tools/pilot_monophase_subtype_adjudication.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/pilot_precontrast_liver_segmentation.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/plan_openswisshcc_candidate_volume_timing_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/plan_openswisshcc_multisequence_chunks.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/preflight_openswisshcc_enhancement_top5_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/prepare_chaos_v21.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/prepare_gd_eob_hcc_external.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,4,0,4
tools/prepare_liverhccseg_v21.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/prepare_lld_mmri_v23_external.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/prepare_openswisshcc.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/prepare_openswisshcc_highdimensional_batch.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/prepare_openswisshcc_holdout_blind.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/prepare_v23_external_validation.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/prepare_v23_retrospective_multicohort.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,3,0,3
tools/prepare_v23_retrospective_multicohort_phase2.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/prepare_v23_retrospective_multicohort_phase3.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
